title,latLong,placename,postcode,description

"Café Kitty, London: ‘Right in the heart of things’ – restaurant review","51.512679,-0.13408","Café Kitty","W1F 0BT","Café Kitty, London: ‘Right in the heart of things’ – restaurant review<br>https://www.theguardian.com/food/2023/dec/24/cafe-kitty-london-right-in-the-heart-of-things"
"Café Lapérouse, London: ‘Dismal, expensive, and I had to cadge bread from the next table’ – restaurant review","51.504176,-0.125854","Café Lapérouse","SW1A 2EX","Café Lapérouse, London: ‘Dismal, expensive, and I had to cadge bread from the next table’ – restaurant review<br>https://www.theguardian.com/food/2023/dec/17/cafe-laperouse-london-eye-wateringly-expensive-restaurant-review"
"Deanes Meat Locker, Belfast: ‘They have the good stuff’ – restaurant review","54.595716,-5.932862","Deanes Meat Locker","BT1 6PF","Deanes Meat Locker, Belfast: ‘They have the good stuff’ – restaurant review<br>https://www.theguardian.com/food/2023/dec/10/jay-rayner-restaurant-review-deanes-meat-locker-belfast-they-have-the-good-stuff"
"Merchants 1688, Lancaster: ‘Seriously impressive food’ – restaurant review","54.04922,-2.804057","Merchants 1688","LA1 1YN","Merchants 1688, Lancaster: ‘Seriously impressive food’ – restaurant review<br>https://www.theguardian.com/food/2023/dec/03/jay-rayner-restaurant-review-merchants-1688-lancaster-seriously-impressive-food"
"Domo, Sheffield: ‘They’re determined to show you a good time, and they do’ – restaurant review","53.389033,-1.472469","Domo","S3 8DH","Domo, Sheffield: ‘They’re determined to show you a good time, and they do’ – restaurant review<br>https://www.theguardian.com/food/2023/nov/26/jay-rayner-restaurant-review-domo-sheffield-they-are-determined-to-show-you-a-good-time"
"Colmans Seafood Temple, South Shields: ‘All the things you want’ – restaurant review","54.998645,-1.413449","Colmans Seafood Temple","NE33 2LD","Colmans Seafood Temple, South Shields: ‘All the things you want’ – restaurant review<br>https://www.theguardian.com/food/2023/nov/19/colmans-seafood-temple-south-shields-all-the-things-you-want-restaurant-review"
"The Small Canteen, Newcastle: ‘Bloody marvellous’ – restaurant review","54.981925,-1.598571","The Small Canteen","NE2 1RH","The Small Canteen, Newcastle: ‘Bloody marvellous’ – restaurant review<br>https://www.theguardian.com/food/2023/nov/12/jay-rayner-restaurant-review-the-small-canteen-newcastle-is-bloody-marvellous"
"Gloriosa, Glasgow: ‘This is where the good things are’ – restaurant review","55.866917,-4.290713","Gloriosa","G3 8TL","Gloriosa, Glasgow: ‘This is where the good things are’ – restaurant review<br>https://www.theguardian.com/food/2023/nov/05/gloriosa-glasgow-this-is-where-the-good-things-are-restaurant-review"
"Chop Chop at the Hippodrome: ‘Run by a Soho legend’ – restaurant review","51.511466,-0.129042","Chop Chop at the Hippodrome","WC2H 7JH","Chop Chop at the Hippodrome: ‘Run by a Soho legend’ – restaurant review<br>https://www.theguardian.com/food/2023/oct/29/chop-chop-at-the-hippodrome-restaurant-review-run-by-a-soho-legend"
"Vervain, Croydon: ‘The terrific cooking deserves a snazzier setting’ – restaurant review","51.339105,-0.06164","Vervain","CR2 8YA","Vervain, Croydon: ‘The terrific cooking deserves a snazzier setting’ – restaurant review<br>https://www.theguardian.com/food/2023/oct/22/jay-rayner-vervain-croydon-terrific-cooking-deserves-snazzier-setting-restaurant-review"
"The Campaner, London SW1: ‘Excellent food, but at eye-watering prices’ – restaurant review","51.489451,-0.152159","The Campaner","SW1W 8BG","The Campaner, London SW1: ‘Excellent food, but at eye-watering prices’ – restaurant review<br>https://www.theguardian.com/food/2023/oct/15/jay-rayner-the-camapner-london-restaurant-review-excellent-food-eye-watering-prices"
"Fin Boys, Cambridge: ‘Inventive cookery and seriously good ingredients’ – restaurant review","52.20115,0.133814","Fin Boys","CB1 2AD","Fin Boys, Cambridge: ‘Inventive cookery and seriously good ingredients’ – restaurant review<br>https://www.theguardian.com/food/2023/oct/08/jay-rayner-restaurant-review-fin-boys-cambridge-inventive-cookery-and-seriously-good-ingredients"
"Sam & Jak, Cirencester: ‘A story of skills and good taste’ – restaurant review","51.716076,-1.968195","Sam & Jak","GL7 1JH","Sam & Jak, Cirencester: ‘A story of skills and good taste’ – restaurant review<br>https://www.theguardian.com/food/2023/oct/01/jay-rayner-restaurant-review-sam-and-jak-cirencester-a-lovely-story-of-good-taste"
"Tendril, London: ‘A hotbed of vegetable-love’ – restaurant review","51.514628,-0.143022","Tendril","W1B 2LQ","Tendril, London: ‘A hotbed of vegetable-love’ – restaurant review<br>https://www.theguardian.com/travel/2023/sep/24/jay-rayner-restaurant-review-tendril-london-a-hotbed-of-vegetable-love"
"The Edinburgh Castle, Manchester: ‘A great place to eat’ – restaurant review","53.48438,-2.229921","The Edinburgh Castle","M4 5EP","The Edinburgh Castle, Manchester: ‘A great place to eat’ – restaurant review<br>https://www.theguardian.com/travel/2023/sep/17/jay-rayner-restaurant-review-the-edinburgh-castle-manchester-a-great-place-to-eat"
"Origin City, London: ‘A nose-to-tail ethos’ – restaurant review","51.518487,-0.101904","Origin City","EC1A 9JR","Origin City, London: ‘A nose-to-tail ethos’ – restaurant review<br>https://www.theguardian.com/food/2023/sep/10/origin-city-london-a-nose-to-tail-ethos-restaurant-review"
"Masala Zone, Piccadilly Circus: ‘A profoundly cheering venture’ – restaurant review","51.509774,-0.13404","Masala Zone Piccadilly Circus","W1J 9HP","Masala Zone, Piccadilly Circus: ‘A profoundly cheering venture’ – restaurant review<br>https://www.theguardian.com/food/2023/sep/03/masala-zone-piccadilly-circus-a-profoundly-cheering-venture-restaurant-review"
"Epicurus, London: ‘It deserves to be full’ – restaurant review","51.542337,-0.147764","Epicurus","NW1 8AH","Epicurus, London: ‘It deserves to be full’ – restaurant review<br>https://www.theguardian.com/food/2023/aug/27/jay-rayner-restaurant-review-epicurus-london-it-deserves-to-be-full"
"The Empire Café, Leeds: ‘Doing the good things’ – restaurant review","53.797352,-1.541221","The Empire Café","LS1 6DB","The Empire Café, Leeds: ‘Doing the good things’ – restaurant review<br>https://www.theguardian.com/food/2023/aug/20/jay-rayner-restaurant-review-the-empire-cafe-leeds-it-made-me-smile"
"Lisbon Tapas, Wrexham: ‘A place that is genuinely pleased to see you’ – restaurant review","53.044688,-2.993141","Lisbon Tapas","LL13 8LS","Lisbon Tapas, Wrexham: ‘A place that is genuinely pleased to see you’ – restaurant review<br>https://www.theguardian.com/food/2023/aug/13/jay-rayner-restaurant-review-lisbon-tapas-wrexham-a-very-nice-time"
"The Empire Café, Leeds: ‘Doing the good things’ – restaurant review","53.797352,-1.541221","The Empire Café","LS1 6DB","The Empire Café, Leeds: ‘Doing the good things’ – restaurant review<br>https://www.theguardian.com/food/2023/aug/20/jay-rayner-restaurant-review-the-empire-cafe-leeds-it-made-me-smile"
"Lisbon Tapas, Wrexham: ‘A place that is genuinely pleased to see you’ – restaurant review","53.044688,-2.993141","Lisbon Tapas","LL13 8LS","Lisbon Tapas, Wrexham: ‘A place that is genuinely pleased to see you’ – restaurant review<br>https://www.theguardian.com/food/2023/aug/13/jay-rayner-restaurant-review-lisbon-tapas-wrexham-a-very-nice-time"
"The Botanist, Chester: ‘I should say, Wow!’ – restaurant review","53.191263,-2.89026","The Botanist","CH1 2DY","The Botanist, Chester: ‘I should say, Wow!’ – restaurant review<br>https://www.theguardian.com/food/2023/jul/30/jay-rayner-restaurant-review-the-botanist-chester-i-should-say-wow"
"Sharkbait & Swim, London: ‘Rock oysters here are plump and pert’ – restaurant review","51.478112,-0.026391","Sharkbait & Swim","SE8 4BX","Sharkbait & Swim, London: ‘Rock oysters here are plump and pert’ – restaurant review<br>https://www.theguardian.com/food/2023/jul/23/jay-rayner-restaurant-review-sharkbait-and-swim-london"
